sentiment	productId	userId	summary	text	helpfulY	helpfulN
		A1YAREUKQU7KLX	Tastes Great BUT check out the SUGAR content	Yes, people will like Pamela's gluten free bread mix.  I did too BUT do the math on the very high amount to sweetener in this mix.  9 grams per slice (based on their stated 16 slices per loaf)!  This is 144 grams for the loaf which comes to 1 1/4 cups of sweetener.  As you know that's 15 tablespoons in the mix (approximately) so compare that to your favorite recipes.  I see no one else coming even close to this in mixes or recipes.  I can't think of any reason they are doing this except for taste - to make it more sellable.  Just a heads up since we need to be cutting back on sugars not ramping up.<br /><br />:-)	2	1
		A3S4IWXSZCN9N7	The most awful taste	I purchased this because I read that it was a natural cure for hives..Um, how about NOT.  It did nothing for my hives and it tastes awful.  Luckily, a co-worker of mine loves this stuff (reminds him of his grandmother) and I gave it to him.  Yucky, yucky stuff.	1	3
		A3LWC833HQIG7J	Excellent chips, full of flavor and just the right thickness and doneness	I purchased the Salt and Vinegar chips and have been very pleased. There is the right amount of vinegar, virtually every single chip I have tasted is done just right, no burned chips, and they have an excellent thickness to impart just the correct amount of potato taste.<br /><br />They go great with lunches or as a snack. They are very economical. Beats the heck in terms of quality, taste, and price to buying these at work or out and about (I bought the 2 ounce bags). I will be trying some of the other intriguing flavors. Recommended.	0	0
		A3QUA7CCU30XFQ	Greenies	This product is just what we wanted. Doggie loves them,and I can hardly believe how fast they got here. Excellent seller.....Bunny	0	1
		AF0JWSFEEOS0X	Fantastic Belgian chocolates!	My mom first tried Leonidas chocolates when a co-worker brought her a sample from Belgium years ago. Later, during a family trip to Amsterdam in 2001, we stopped at one of their shops and bought several pounds of this fantastic chocolate for ourselves and family members.  10 years later, I ordered these as a Christmas present to my mom, knowing how much she loves these chocolates, and Leonidas, still does not disappoint. These were a total hit for the holidays and my mother, who does not eat dark chocolate, even gobbled up all of the dark chocolate pralines included in the holiday ballotin, they're that good! They are totally worth the expense.	0	0
		A23PQN6R4VWJYC	Great treats	Penny loves it. She keeps asking for more and more :)<br />I was very glad to know that because its healthy, cheap and tasty. I definitely will buy more, next time!	0	0
		A2H9KHFSIVQRK7	GREAT	LOVE the Greenies.....my rat terriers favorite snack!  Just say the word and they come running!  Enjoy them and don't forget to buy more!!	0	0
		A2LDT9BIN9ZBYR	Not very good!!!!	On the cover, pink guava and coconut sounds very interesting and tasty.<br /><br />It was the complete opposite.<br /><br />My taste is very good and i am not picky at all. I can eat most food on this planet without hesitation.<br /><br />But, the taste on this drink is different. It does not taste good or bad. It for sure doesn't taste like a $10 product.<br /><br />It taste like the container that holds the drink. The taste does not taste like guava or coconut water.	2	2
		A2IC971NTAR38Z	Good Jerky	Loved the flavor and soft and chewyness of this Beef jerky. Spicey and great to every peice.<br />Not a bad price for where other jerky is more than $23 for barely 1lb and this one is steal with it	2	1
		A2BCDZO1XQLDH	Excellent product	This fizzy fruity soda tastes great and has no added sugars (including all the hidden ones). Tastes great, but for those who think this is a lo-cal drink, nope: 135 cal per can. Has added Vitamin C (100% RDA). Like most fruit mixes main juice is apple/grape, but kiwi, acerola (a wild cherry fruit), strawberry, and raspberry are listed in the ingredients. I thought you could taste flavors beyond the apple/grape combo as well.	1	0
		A3JZNCC3VX1AAC	Lavazza Tierra! Espresso 100% Arabica Coffee Beans, 2.2 Pound Bag	Fantastic coffee beans. I made today 2 espresso shots with my Rocky and Andreja Premium at 10 and 9 bars of pressure. These were the best 2 espresso shots I've ever had. Far better than any Coffee house and better than other coffee beans including Illy with a fraction of Illy price. I'll definitely use again in the future.  Thanks Amazon, thanks Lavazza.	3	0
		AAA0TUKS5VBSA	People Food?	"As this cat food has the somewhat comical tagline ""People food for cats!,"" it may either at first appear charming or like a gimmick.  I think it is fair to say that it is a charming gimmick.  The foods are indeed fashioned after human food, but are more like food for baby humans than us adult humans that prefer strong seasoned flavors.  Of course, that is a good thing, as a healthy diet for a cat is quite different than for a human.  The ingredients, then, are basic, with nothing offensive like wheat-gluten.<br /><br />As for the taste, I agree with other reviewers that this comes down to the preference of each cat, but it has been a great hit with cats in my experience!"	1	0
		A1MTURFHSL92YI	Great choice of food, no stomach sensitivities	One of my cats is 17 years old and I rescued her from the outdoors.  She had a rough life before I had her.  Over the years I've fed her premium brands and a few regular brands.  I tried this food after I first saw the commercial and I've never had to switch to any other since.  I like this food because all 3 of my cats like it and they don't have any sensitivities to it.  The bottom line is that I'm certain there are many brands on the market that may have only natural ingredients in them.  But I think all food has to have some preservatives in them so they are able to be packaged for sale in dry form.  So how can even the purest foods with preservatives in them really be any better than this one?  I don't feel as though I'm shortening my cats' life span feeding them this brand.  Hey, 17 years and still kickin' is enough proof to me.  I give The Goodlife Recipe two thumbs up!!	2	1
		A2DSNJCYTQQDR5	Best coffee in the world	Nestle's Mountain Blend has the best flavor of all the coffees, both instant and regular, that I've ever tried, and the least acidic.	3	0
		A2QDBOHV00NOR2	Cat's love it	"I got this after reading an article in Natural Health magazine's October 2008 edition, ""Feed your pet Right"". The article identified protein rich, nutritionally balanced cat food.  My TWO cats did not like the chicken types, but LOVE the red snapper, tuna and shrimp, tuna and sole and yellow fin tuna.  I get the combo in the 4 pack.<br />I would recommend switching over from dry food to wet slowly so there's no upset stomachs.  I think your cats will like this food, even if they are picky, like mine."	1	0
		A2ALMIJP3PTEIT	FABULOUS POPCORN	We wouldn't use any other kind of popcorn.  It is actually BETTER than theater popcorn!  It has just the right amount of salt and butter.  DELICIOUS!	2	2
